都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,USER_通し番号,USER_施設名称,USER_棟名,USER_建物用途,区,USER_住所,USER_Field9,USER_静岡県浜松市,経度,緯度,階数,3階×ｍ,収容人数(0.7*0.7)指数o.8,USER_避難場所,USER_面積___,USER_公共民間,USER_建物の構造,USER_建築年,USER_x,USER_y
221309,389,静岡県,浜松市,199,市営遠州浜団地,光5,集合住宅,中央区,遠州浜一丁目2-4,中央区遠州浜一丁目2-4,静岡県浜松市中央区遠州浜一丁目2-4,137.7606624,34.6577313,3階,6ｍ,49人,階段踊場,34.5,公共,RC,1996,15335446.79,4117464.927
221309,393,静岡県,浜松市,203,南の星小学校,,学校,中央区,西島町1148-1,中央区西島町1148-1,静岡県浜松市中央区西島町1148-1,137.768539,34.662228,4階,9ｍ,"4,167人",3～4階普通教室・特別教室・廊下・更衣室、屋上,2930,公共,RC,2011,15336323.61,4118073.493
221309,391,静岡県,浜松市,201,市営遠州浜団地,みどり4,集合住宅,中央区,遠州浜一丁目23-2,中央区遠州浜一丁目23-2,静岡県浜松市中央区遠州浜一丁目23-2,137.762289,34.65769582,3階,6ｍ,295人,屋内階段、EVホール,207.5,公共,RC,1998,15335627.86,4117460.126
221309,390,静岡県,浜松市,200,市営遠州浜団地,光8,集合住宅,中央区,遠州浜一丁目2-1,中央区遠州浜一丁目2-1,静岡県浜松市中央区遠州浜一丁目2-1,137.7607874,34.6583285,3階,6ｍ,65人,階段踊場,46,公共,RC,1994,15335460.7,4117545.748
221309,392,静岡県,浜松市,202,市営遠州浜団地,みどり5,集合住宅,中央区,遠州浜一丁目23-3,中央区遠州浜一丁目23-3,静岡県浜松市中央区遠州浜一丁目23-3,137.7626372,34.6576925,4階,9ｍ,102人,3～4階通路,71.8,公共,RC,1998,15335666.62,4117459.677
221309,394,静岡県,浜松市,204,浜松江之島高等学校,南館,学校,中央区,江之島町630-1,中央区江之島町630-1,静岡県浜松市中央区江之島町630-1,137.7537578,34.6660246,3階,6ｍ,"1,017人",3階普通教室、屋上,714.8,公共,SRC,1984,15334678.17,4118587.335
221309,395,静岡県,浜松市,205,南区役所,,区役所,中央区,江之島町600-1,中央区江之島町600-1,静岡県浜松市中央区江之島町600-1,137.7523718,34.6673189,3階,6ｍ,"1,748人",屋上、3階ホール,1229,公共,RC,2007,15334523.88,4118762.515
221309,397,静岡県,浜松市,208,雄踏中学校,屋内運動場,学校,中央区,雄踏町宇布見9595,中央区雄踏町宇布見9595,静岡県浜松市中央区雄踏町宇布見9595,137.6343,34.69345,3階,6ｍ,569人,観覧席、通路,400,公共,RC,1985,15321380.19,4122299.865
221309,396,静岡県,浜松市,207,雄踏中学校,北棟,学校,中央区,雄踏町宇布見9595,中央区雄踏町宇布見9595,静岡県浜松市中央区雄踏町宇布見9595,137.6343,34.69345,3階,6ｍ,"1,407人",3階特別教室・廊下,989,公共,RC,1985,15321380.19,4122299.865
221309,398,静岡県,浜松市,209,雄踏中学校,南棟,学校,中央区,雄踏町宇布見9595,中央区雄踏町宇布見9595,静岡県浜松市中央区雄踏町宇布見9595,137.6343,34.69345,3階,6ｍ,"1,667人",3階普通教室・特別教室・廊下,1172,公共,RC,1985,15321380.19,4122299.865
221309,399,静岡県,浜松市,210,雄踏小学校,管理教室棟,学校,中央区,雄踏町宇布見7997-1,中央区雄踏町宇布見7997-1,静岡県浜松市中央区雄踏町宇布見7997-1,137.632671,34.701562,3階,6ｍ,"2,177人",3階普通教室・特別教室・廊下,1530.63,公共,RC,2007,15321198.85,4123398.209
221309,402,静岡県,浜松市,213,可美中学校,北棟,学校,中央区,増楽町700,中央区増楽町700,静岡県浜松市中央区増楽町700,137.691101,34.687428,4階,9ｍ,"3,294人",3～4階特別教室・廊下・屋上,2316,公共,RC,,15327703.25,4121484.572
221309,400,静岡県,浜松市,211,雄踏小学校,北棟,学校,中央区,雄踏町宇布見7997-1,中央区雄踏町宇布見7997-1,静岡県浜松市中央区雄踏町宇布見7997-1,137.632671,34.701562,3階,6ｍ,883人,3階普通教室・特別教室・廊下,620.8,公共,RC,2007,15321198.85,4123398.209
221309,401,静岡県,浜松市,212,雄踏小学校,南棟,学校,中央区,雄踏町宇布見7997-1,中央区雄踏町宇布見7997-1,静岡県浜松市中央区雄踏町宇布見7997-1,137.632671,34.701562,3階,6ｍ,883人,3階普通教室・特別教室・廊下,620.8,公共,RC,2007,15321198.85,4123398.209
221309,403,静岡県,浜松市,214,可美小学校,北棟,学校,中央区,若林町1748,中央区若林町1748,静岡県浜松市中央区若林町1748,137.695587,34.689232,4階,9ｍ,"2,651人",3～4階普通教室・特別教室・廊下・屋上,1864,公共,RC,,15328202.63,4121728.802
221309,404,静岡県,浜松市,215,可美小学校,南棟,学校,中央区,若林町1748,中央区若林町1748,静岡県浜松市中央区若林町1748,137.695587,34.689232,3階,6ｍ,"2,587人",3階普通教室・特別教室・廊下・屋上,1819,公共,RC,,15328202.63,4121728.802
